model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
PatentSBERTa,balanced_synonym_fabales_dataset_results.csv,0.7523709167544784,0.9764588859416445,0.5172110994028802,0.6762342135476463,5623,71,2749,2945,11388
PatentSBERTa,balanced_synonym_lamiales_dataset_results.csv,0.774390243902439,0.9530201342281879,0.5772357723577236,0.7189873417721518,239,7,104,142,492
PatentSBERTa,balanced_synonym_poales_dataset_results.csv,0.744441060006092,0.9869538834951457,0.4954310082241852,0.6597039140133847,13046,86,6626,6506,26264
PatentSBERTa,balanced_synonym_rosales_dataset_results.csv,0.7826502442132087,0.9847050254916242,0.5742195795285623,0.7254191817572099,9334,84,4010,5408,18836
