key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
4051910,Polygala malesiana Adema,Polygala malesiana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala malesiana,0,Heterosamara malesiana,Heterosamara malesiana (Adema) Paiva,4049454,SYNONYM,,(Adema) Paiva,Paiva. (1998). In: Fontqueria 50: 135.
4051910,Polygala malesiana Adema,Polygala malesiana,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala malesiana,0,Polygala cardiocarpa,Polygala cardiocarpa Ridl.,7756522,HETEROTYPIC_SYNONYM,,Ridl.,Ridl. (1922). In: (1922) Non Kurz.
4051973,Polygala grandidieri Baill.,Polygala grandidieri,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala grandidieri,0,Polygala pilosa,Polygala pilosa Baker,4051871,HETEROTYPIC_SYNONYM,,Baker,"Baker. (1884). In: J. Linn. Soc., Bot. 21: 321."
4051973,Polygala grandidieri Baill.,Polygala grandidieri,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala grandidieri,0,Polygala subglobosa,Polygala subglobosa Paiva,4051038,SYNONYM,,Paiva,"Paiva. (1998). In: Fontqueria 50: 224, Nom. Nov. Superfl."
4050225,Polygala ericifolia DC.,Polygala ericifolia,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala ericifolia,0,Polygala acerosa,Polygala acerosa E.Mey.,4049187,SYNONYM,,E.Mey.,"E. Mey. (1843). In: Drège, Zwei Pfl. Docum. 212."
4050225,Polygala ericifolia DC.,Polygala ericifolia,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala ericifolia,0,Polygala eckloniana,Polygala eckloniana Lehm.,8023353,HETEROTYPIC_SYNONYM,,Lehm.,Lehm. (1830). In: Del. Sem. Hort. Hamb. 8.
4050225,Polygala ericifolia DC.,Polygala ericifolia,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala ericifolia,0,Polygala microlopha,Polygala microlopha Eckl. & Zeyh.,8061430,SYNONYM,,Eckl. & Zeyh.,
4050225,Polygala ericifolia DC.,Polygala ericifolia,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala ericifolia,0,Polygala mundiana,Polygala mundiana Eckl. & Zeyh.,4050898,SYNONYM,,Eckl. & Zeyh.,Eckl. & Zeyh. (n.d.). In: Enum. Pl. Afric. Austral. 22 (1834-35).
4050196,Polygala eriocephala F.Muell. ex Benth.,Polygala eriocephala,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala eriocephala,0,Polygala eriocephala,Polygala eriocephala F.Muell.,8448286,HOMOTYPIC_SYNONYM,,F.Muell.,
3191403,Polygala smallii R.R.Sm. & D.B.Ward,Polygala smallii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala smallii,1,Pilostaxis arenicola,Pilostaxis arenicola (Small) Small,4049339,SYNONYM,,(Small) Small,Small. (1933). In: Man. Southeast. Fl. 773.
3191403,Polygala smallii R.R.Sm. & D.B.Ward,Polygala smallii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala smallii,1,Polygala arenicola,Polygala arenicola Small,7608390,HETEROTYPIC_SYNONYM,,Small,"Small. (1905). In: Bull. N. York Bot. Gard. 3: 426, Non Guerke."
3191403,Polygala smallii R.R.Sm. & D.B.Ward,Polygala smallii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala smallii,1,Pylostachya arenicola,Pylostachya arenicola Small,3191404,SYNONYM,,Small,
8316305,Polygala patens J.F.B.Pastore & Marques,Polygala patens,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala patens,0,Senega patens,Senega patens (J.F.B.Pastore & Marques) J.F.B.Pastore,12351071,HOMOTYPIC_SYNONYM,,(J.F.B.Pastore & Marques) J.F.B.Pastore,
4052027,Polygala macroptera DC.,Polygala macroptera,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala macroptera,0,Polygala longifolia,Polygala longifolia A.Dietr.,8232671,SYNONYM,,A.Dietr.,"A. Dietr. (1834). In: Allg. Gartenzeitung 2: 117, Nom. Illeg."
4052027,Polygala macroptera DC.,Polygala macroptera,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala macroptera,0,Polygala volubilis,Polygala volubilis Bojer,4052290,SYNONYM,,Bojer,"Bojer. (1842). In: Bouton, 12me Rapp. Ann. Maur. 14."
4049331,Polygala gayii A.W.Benn.,Polygala gayii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala gayii,0,Polygala parvula,Polygala parvula Phil.,4049349,SYNONYM,,Phil.,Anales Univ. Chile 81: 496 (1892)
4049331,Polygala gayii A.W.Benn.,Polygala gayii,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala gayii,0,Polygala stricta,Polygala stricta Gay,7827408,HETEROTYPIC_SYNONYM,,Gay,Gay. (1846). In: Fl. Chil. (Gay) 1: 236.
8812729,Polygala minarum J.F.B.Pastore,Polygala minarum,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala minarum,1,Senega minarum,Senega minarum (J.F.B.Pastore) J.F.B.Pastore,12299606,HOMOTYPIC_SYNONYM,,(J.F.B.Pastore) J.F.B.Pastore,
