key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
4453270,"Leucohimatium langii (Solsky, 1866)",Leucohimatium langii,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium langii,0,Leucohimatium obscurata,"Leucohimatium obscurata Semenov, 1898",4453271,HETEROTYPIC_SYNONYM,,"Semenov, 1898",
4453270,"Leucohimatium langii (Solsky, 1866)",Leucohimatium langii,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Languriidae,Leucohimatium,Leucohimatium langii,0,Paramecosoma langii,"Paramecosoma langii Solsky, 1866",4453272,HOMOTYPIC_SYNONYM,,"Solsky, 1866",
9414997,"Megatoma atypica (Deng et al., 2017)",Megatoma atypica,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Cretomegatoma,Megatoma atypica,0,Cretomegatoma atypica,"Cretomegatoma atypica (Deng et al., 2017)",12168051,SYNONYM,,"(Deng et al., 2017) ",
1095984,"Trogoderma angustum (Solier, 1849)",Trogoderma angustum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma angustum,1,Eurhopalus angustum,"Eurhopalus angustum Solier, 1849",4427362,HOMOTYPIC_SYNONYM,,"Solier, 1849",
1095984,"Trogoderma angustum (Solier, 1849)",Trogoderma angustum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma angustum,1,Pseudomegatoma boliviensis,"Pseudomegatoma boliviensis Pic, 1915",4427363,HETEROTYPIC_SYNONYM,,"Pic, 1915",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Anthrenus glabrum,"Anthrenus glabrum Herbst, 1783",4427360,HOMOTYPIC_SYNONYM,,"Herbst, 1783",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Anthrenus niger,"Anthrenus niger Herbst, 1797",7902219,SYNONYM,,"Herbst, 1797",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Anthrenus nigrum,"Anthrenus nigrum Herbst, 1797",4427359,HETEROTYPIC_SYNONYM,,"Herbst, 1797",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma boron,"Trogoderma boron Beal, 1954",4427358,HETEROTYPIC_SYNONYM,,"Beal, 1954",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma fuscicornis,"Trogoderma fuscicornis Mulsant & Rey, 1868",6966884,SYNONYM,,"Mulsant & Rey, 1868",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma niger,"Trogoderma niger (Herbst, 1797)",4740167,SYNONYM,,"(Herbst, 1797) ",
1095973,"Trogoderma glabrum (Herbst, 1783)",Trogoderma glabrum,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma glabrum,1,Trogoderma nigrum,"Trogoderma nigrum (Herbst, 1797)",6966883,SYNONYM,,"(Herbst, 1797) ",
1095979,"Trogoderma granarium Everts, 1898",Trogoderma granarium,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma granarium,1,Trogoderma afrum,"Trogoderma afrum Priesner, 1951",4427352,HETEROTYPIC_SYNONYM,,"Priesner, 1951",
1095979,"Trogoderma granarium Everts, 1898",Trogoderma granarium,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma granarium,1,Trogoderma khapra,"Trogoderma khapra Arrow, 1917",4427353,HETEROTYPIC_SYNONYM,,"Arrow, 1917",
1095972,"Trogoderma grassmani Beal, 1954",Trogoderma grassmani,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma grassmani,0,Trogoderma grassmani,"Trogoderma grassmani Everts, 1899",8295418,SYNONYM,,"Everts, 1899",
4427351,"Trogoderma megatomoides Reitter, 1881",Trogoderma megatomoides,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma megatomoides,0,Entomotrogus megatomoides,"Entomotrogus megatomoides (Reitter, 1881)",9451075,SYNONYM,,"(Reitter, 1881) ",
1095971,"Trogoderma variabile Ballion, 1878",Trogoderma variabile,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma variabile,1,Trogoderma parabile,"Trogoderma parabile Beal, 1954",4427356,HETEROTYPIC_SYNONYM,,"Beal, 1954",
1095971,"Trogoderma variabile Ballion, 1878",Trogoderma variabile,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma variabile,1,Trogoderma persica,"Trogoderma persica Pic, 1914",4427355,HETEROTYPIC_SYNONYM,,"Pic, 1914",
1095976,"Trogoderma versicolor (Creutzer, 1799)",Trogoderma versicolor,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Trogoderma,Trogoderma versicolor,0,Anthrenus versicolor,"Anthrenus versicolor Creutzer, 1799",4427350,HOMOTYPIC_SYNONYM,,"Creutzer, 1799",
4427406,"Ctesias serra (Fabricius, 1792)",Ctesias serra,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Ctesias,Ctesias serra,1,Dermestes serra,"Dermestes serra Fabricius, 1792",7837511,HOMOTYPIC_SYNONYM,,"Fabricius, 1792",
