key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
1095920,"Labrocerus similaris (Sharp, 1908)",Labrocerus similaris,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Labrocerus,Labrocerus similaris,0,Argocerus subguttatus,"Argocerus subguttatus Sharp, 1908",1095922,SYNONYM,,"Sharp, 1908",
1095918,"Labrocerus vestitus Sharp, 1908",Labrocerus vestitus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Labrocerus,Labrocerus vestitus,0,Labrocerus flavicornis,"Labrocerus flavicornis Sharp, 1908",1095919,SYNONYM,,"Sharp, 1908",
6965603,"Attagenus australis (Montrouzier, 1860)",Attagenus australis,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus australis,0,Trinodes australis,"Trinodes australis Montrouzier, 1860",6965604,SYNONYM,,"Montrouzier, 1860",
1095954,"Attagenus brunneus Faldermann, 1835",Attagenus brunneus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus brunneus,1,Attagenus elongatulus,"Attagenus elongatulus Casey, 1900",4739970,SYNONYM,,"Casey, 1900",
1095954,"Attagenus brunneus Faldermann, 1835",Attagenus brunneus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus brunneus,1,Attagenus elongatus,"Attagenus elongatus Casey, 1900",4739972,SYNONYM,,"Casey, 1900",
1095954,"Attagenus brunneus Faldermann, 1835",Attagenus brunneus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus brunneus,1,Attagenus marginicollis,"Attagenus marginicollis Küster, 1847",4739969,SYNONYM,,"Küster, 1847",
1095950,"Attagenus fasciatus (Thunberg, 1795)",Attagenus fasciatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus fasciatus,1,Attagenus anulifer,"Attagenus anulifer Laporte de Castelnau, 1840",4739960,SYNONYM,,"Laporte de Castelnau, 1840",
1095950,"Attagenus fasciatus (Thunberg, 1795)",Attagenus fasciatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus fasciatus,1,Attagenus gloriosae,"Attagenus gloriosae (Fabricius, 1798)",8676513,SYNONYM,,"(Fabricius, 1798) ",
1095950,"Attagenus fasciatus (Thunberg, 1795)",Attagenus fasciatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus fasciatus,1,Attagenus gloriosus,"Attagenus gloriosus (Fabricius, 1798)",9507693,SYNONYM,,"(Fabricius, 1798) ",
4427437,"Attagenus quadrimaculatus Kraatz, 1858",Attagenus quadrimaculatus,SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus quadrimaculatus,0,Attagenus 4-maculatus,"Attagenus 4-maculatus Kraatz, 1858",11933811,SYNONYM,,"Kraatz, 1858",
