key,scientificName,canonicalName,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,numDescendants,oldSpeciesCanonicalName,oldSpeciesScientificName,oldSpeciesKey,oldSpeciesTaxonomicStatus,oldSpeciesNomenclaturalStatus,oldSpeciesAuthorship,oldSpeciesPublishedIn
8854301,"Yungipicus maculatus (Scopoli, 1786)",Yungipicus maculatus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus maculatus,4,Dendrocopos maculatus,"Dendrocopos maculatus (Scopoli, 1786)",2477996,SYNONYM,,"(Scopoli, 1786) ",
8854301,"Yungipicus maculatus (Scopoli, 1786)",Yungipicus maculatus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus maculatus,4,Picoides maculatus,"Picoides maculatus (Scopoli, 1786)",9175722,SYNONYM,,"(Scopoli, 1786) ",
9104123,"Yungipicus moluccensis (J.F.Gmelin, 1788)",Yungipicus moluccensis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus moluccensis,2,Dendrocopos moluccensis,"Dendrocopos moluccensis (J.F.Gmelin, 1788)",2477942,SYNONYM,,"(J.F.Gmelin, 1788) ",
9104123,"Yungipicus moluccensis (J.F.Gmelin, 1788)",Yungipicus moluccensis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus moluccensis,2,Picoides moluccensis,"Picoides moluccensis (Gmelin, 1788)",8718214,SYNONYM,,"(Gmelin, 1788) ",
8951546,"Yungipicus ramsayi Hargitt, 1881",Yungipicus ramsayi,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus ramsayi,0,Picoides ramsayi,"Picoides ramsayi (Hargitt, 1881)",5789374,HOMOTYPIC_SYNONYM,,"(Hargitt, 1881) ",
8875463,"Yungipicus temminckii (Malherbe, 1849)",Yungipicus temminckii,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus temminckii,0,Dendrocopos temminckii,"Dendrocopos temminckii (Malherbe, 1849)",2477941,SYNONYM,,"(Malherbe, 1849) ",
8875463,"Yungipicus temminckii (Malherbe, 1849)",Yungipicus temminckii,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Yungipicus,Yungipicus temminckii,0,Picoides temminckii,"Picoides temminckii (Malherbe, 1849)",11090687,HOMOTYPIC_SYNONYM,,"(Malherbe, 1849) ",
2478165,"Xiphidiopicus percussus (Temminck, 1826)",Xiphidiopicus percussus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Xiphidiopicus,Xiphidiopicus percussus,2,Picus percussus,"Picus percussus (Temminck, 1826)",11237708,HOMOTYPIC_SYNONYM,,"(Temminck, 1826) ",
2478373,"Veniliornis affinis (Swainson, 1821)",Veniliornis affinis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis affinis,5,Dryobates affinis,"Dryobates affinis (Swainson, 1821)",10705931,SYNONYM,,"(Swainson, 1821) ",
2478373,"Veniliornis affinis (Swainson, 1821)",Veniliornis affinis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis affinis,5,Picus affinis,"Picus affinis Swainson, 1821",11026460,SYNONYM,,"Swainson, 1821",
2478357,"Veniliornis callonotus (Waterhouse, 1841)",Veniliornis callonotus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis callonotus,3,Dryobates callonotus,"Dryobates callonotus (Waterhouse, 1841)",10680427,SYNONYM,,"(Waterhouse, 1841) ",
2478357,"Veniliornis callonotus (Waterhouse, 1841)",Veniliornis callonotus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis callonotus,3,Picus callonotus,"Picus callonotus Waterhouse, 1841",9080727,SYNONYM,,"Waterhouse, 1841",
2478356,"Veniliornis cassini (Malherbe, 1862)",Veniliornis cassini,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis cassini,1,Dryobates cassini,"Dryobates cassini (Malherbe, 1862)",10685208,SYNONYM,,"(Malherbe, 1862) ",
2478356,"Veniliornis cassini (Malherbe, 1862)",Veniliornis cassini,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis cassini,1,Mesopicus cassini,"Mesopicus cassini Malherbe, 1862",10923719,SYNONYM,,"Malherbe, 1862",
2478339,"Veniliornis chocoensis Todd, 1919",Veniliornis chocoensis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis chocoensis,1,Dryobates chocoensis,"Dryobates chocoensis (Todd, 1919)",10701057,SYNONYM,,"(Todd, 1919) ",
2478378,"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",Veniliornis dignus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis dignus,4,Chloronerpes dignus,"Chloronerpes dignus P.L.Sclater & Salvin, 1877",9171615,SYNONYM,,"P.L.Sclater & Salvin, 1877",
2478378,"Veniliornis dignus (P.L.Sclater & Salvin, 1877)",Veniliornis dignus,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis dignus,4,Dryobates dignus,"Dryobates dignus (P.L.Sclater & Salvin, 1877)",10835052,SYNONYM,,"(P.L.Sclater & Salvin, 1877) ",
2478366,"Veniliornis frontalis (Cabanis, 1883)",Veniliornis frontalis,SPECIES,ACCEPTED,Animalia,Chordata,Aves,Piciformes,Picidae,Veniliornis,Veniliornis frontalis,0,Cloronerpes frontalis,"Cloronerpes frontalis Cabanis, 1883",11365689,SYNONYM,,"Cabanis, 1883",
