model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
S-BioBERT,balanced_synonym_fabales_dataset_results.csv,0.6097646645591851,0.9807692307692307,0.22391991570073763,0.36459822705175865,5669,25,4419,1275,11388
S-BioBERT,balanced_synonym_lamiales_dataset_results.csv,0.6524390243902439,1.0,0.3048780487804878,0.4672897196261682,246,0,171,75,492
S-BioBERT,balanced_synonym_poales_dataset_results.csv,0.593816631130064,0.995575221238938,0.18847091075236064,0.3169419900115252,13121,11,10657,2475,26264
S-BioBERT,balanced_synonym_rosales_dataset_results.csv,0.5937566362284986,0.993847874720358,0.1886812486727543,0.3171515259682313,9407,11,7641,1777,18836
