model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
all-MiniLM-L6-v2,balanced_synonym_fabales_dataset_results.csv,0.6193361433087461,0.9815733522324592,0.2432384966631542,0.38986629134412387,5668,26,4309,1385,11388
all-MiniLM-L6-v2,balanced_synonym_lamiales_dataset_results.csv,0.5589430894308943,0.9393939393939394,0.12601626016260162,0.2222222222222222,244,2,215,31,492
all-MiniLM-L6-v2,balanced_synonym_poales_dataset_results.csv,0.618489186719464,0.9911616161616161,0.2391105696009747,0.3852760736196319,13104,28,9992,3140,26264
all-MiniLM-L6-v2,balanced_synonym_rosales_dataset_results.csv,0.6274155871734975,0.9878048780487805,0.25801656402633255,0.4091597912106415,9388,30,6988,2430,18836
