model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
ModernBERT-large,balanced_synonym_fabales_dataset_results.csv,0.5007903055848262,0.5003956043956044,0.9996487530734106,0.6669400667877439,11,5683,2,5692,11388
ModernBERT-large,balanced_synonym_lamiales_dataset_results.csv,0.5,0.5,0.991869918699187,0.6648501362397821,2,244,2,244,492
ModernBERT-large,balanced_synonym_poales_dataset_results.csv,0.5007614986293024,0.5003815628815629,0.9986293024672556,0.6667005592272496,38,13094,18,13114,26264
ModernBERT-large,balanced_synonym_rosales_dataset_results.csv,0.5031322998513484,0.5015752656592086,0.9973455086005522,0.6674720198969621,84,9334,25,9393,18836
