model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
bge-base-en-v1.5,balanced_synonym_fabales_dataset_results.csv,0.8190200210748156,0.9845292077887436,0.6482262030207235,0.7817430901196654,5636,58,2003,3691,11388
bge-base-en-v1.5,balanced_synonym_lamiales_dataset_results.csv,0.9471544715447154,0.9741379310344828,0.9186991869918699,0.9456066945606695,240,6,20,226,492
bge-base-en-v1.5,balanced_synonym_poales_dataset_results.csv,0.7995354858361255,0.9929815766386765,0.6033353639963448,0.7506039505471082,13076,56,5209,7923,26264
bge-base-en-v1.5,balanced_synonym_rosales_dataset_results.csv,0.7899235506476959,0.9890739745656457,0.5863240603100446,0.7362175854943004,9357,61,3896,5522,18836
