model,file,accuracy,precision,recall,f1,tn,fp,fn,tp,total
bge-large-zh-v1.5,balanced_synonym_fabales_dataset_results.csv,0.6952054794520548,0.9772434521253757,0.3997190024587285,0.5673688146578587,5641,53,3418,2276,11388
bge-large-zh-v1.5,balanced_synonym_lamiales_dataset_results.csv,0.6585365853658537,0.9333333333333333,0.34146341463414637,0.5,240,6,162,84,492
bge-large-zh-v1.5,balanced_synonym_poales_dataset_results.csv,0.6843588181541274,0.988498789346247,0.3730581784952787,0.5416850950906679,13075,57,8233,4899,26264
bge-large-zh-v1.5,balanced_synonym_rosales_dataset_results.csv,0.7099171798683372,0.9867060561299852,0.42556806115948187,0.5946587537091989,9364,54,5410,4008,18836
